State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Status Of Completion,Category,Village Scheme Type,FHTCS planned,FHTCS provided,Source of Scheme,Un-verified status,Main Schemes Funded From,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physical Work Status,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
madhya pradesh,e.e. phed division tikamgarh,30042356.0,reteofitting guna,243.91,2021-2022,20-07-2020,01-05-2022,26-06-2023,31-12-2024,243.91,0.0,243.91,243.2324,109.62138,243.2324,109.62138,ongoing,retrofit/ augmentation,svs,502.0,496.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,243.91,109.76,24.391,100.0,physically completed,not provided,2023.0,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division datia,7747253.0,ruhera (odf) pwss,95.2,2017-2018,17-11-2017,21-11-2017,20-03-2024,30-04-2024,98.18905,0.0,98.18905,103.50593,90.93846,98.18905,90.93846,ongoing,new pws scheme,svs,38.0,523.0,ground water based,not specified,nrdwp,ongoing and not taken for retrofit & augmentation (nrdwp schemes where expenditure booked since launch of jjm),0.0,0.0,0.0,100.0,physically completed,not provided,2021.0,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division chhatarpur,8334256.0,torna ps,1.98,2021-2022,12-03-2021,01-04-2021,03-02-2024,09-02-2024,1.5,0.0,1.5,1.5,0.75,1.5,0.75,financially completed,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.99,0.0,100.0,physically completed,not provided,not specified,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30246838.0,khamori school anganwadi jjm scheme,2.4,2020-2021,06-01-2021,23-07-2021,not provided,23-10-2021,2.4,0.0,2.4,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.2,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed divivsion harda,8390415.0,raisalpur retri jjm,72.67,2021-2022,19-08-2021,17-11-2021,23-04-2024,31-12-2024,72.67,0.0,72.67,69.02504,34.51252,69.02504,34.51252,ongoing,retrofit/ augmentation,svs,136.0,136.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,72.67,34.518,3.634,100.0,physically completed,not provided,2023.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division ujjain,30011018.0,malhar grah school anganwadi scheme,27.92,2021-2022,21-12-2020,11-03-2021,14-02-2024,31-12-2025,27.92,0.0,27.92,26.05353,12.37177,26.05353,12.37177,ongoing,new pws scheme,svs,2.0,0.0,ground water based,not specified,jjm-pws,pws schemes,0.0,13.96,0.0,100.0,physically completed,not provided,not specified,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division katni,8346582.0,aaganwadi dhimarkheda 1136,39.52,2021-2022,31-03-2021,11-06-2021,not provided,31-12-2024,39.52,0.0,39.52,33.78557,18.38951,33.78557,18.38951,ongoing,new pws scheme,mvs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,39.52,17.784,3.952,25.0,ongoing but physically not completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division ashok nagar,8343539.0,jarsal,70.69,2020-2021,21-12-2020,12-03-2021,28-04-2023,31-05-2024,70.69,0.0,70.69,59.69795,31.8105,59.69795,31.8105,ongoing,new pws scheme,svs,423.0,330.0,ground water based,not specified,jjm-pws,pws schemes,70.69,31.81,7.069,100.0,physically completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division seoni,7748839.0,andhyari (odf) pwss,49.46,2017-2018,19-10-2020,06-12-2017,31-12-2019,31-12-2022,47.77,0.0,47.77,47.32845,20.32872,45.63845,20.32872,ongoing,retrofit/ augmentation,svs,138.0,129.0,ground water based,not specified,nrdwp,ongoing and subsumed for retrofit & augmentation,0.0,24.73,0.0,100.0,physically completed,not provided,2020.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division khargone,30058786.0,chhendiya anjan_pwss,63.14,2021-2022,11-11-2021,01-03-2023,not provided,31-12-2025,63.14,0.0,63.14,39.32166,15.14355,39.32166,15.14355,ongoing,new pws scheme,svs,157.0,87.0,ground water based,not specified,jjm-pws,pws schemes,63.14,29.992,3.157,95.0,ongoing but physically not completed,not provided,2025.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division gwalior,8335685.0,badagaon jageer middle school,1.72,2021-2022,22-12-2020,01-04-2021,03-03-2023,04-03-2023,1.72,0.0,1.72,1.72,0.75,1.72,0.75,financially completed,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.86,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division chhatarpur,8349905.0,ps jagatpur,3.01,2021-2022,12-03-2021,01-04-2021,not provided,31-03-2022,3.01,0.0,3.01,0.0,0.0,0.0,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.505,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,not specified,23-04-2025
madhya pradesh,e.e. phed division khandwa,8166285.0,bhetkheda pwss,19.97,2020-2021,26-11-2020,28-12-2020,27-12-2024,31-12-2024,19.97,0.0,19.97,4.92815,0.67448,4.92815,0.67448,ongoing,new pws scheme,svs,22.0,20.0,ground water based,not specified,jjm-pws,pws schemes,19.97,8.986,1.997,100.0,physically completed,not provided,2021.0,not provided,2022.0,23-04-2025
madhya pradesh,e.e. phed division parasia,30205367.0,mainawadi jjm scheme,34.2,2021-2022,27-01-2022,06-01-2023,not provided,31-12-2025,34.2,0.0,34.2,22.4851,3.57259,22.4851,3.57259,ongoing,new pws scheme,svs,172.0,102.0,ground water based,not specified,jjm-pws,pws schemes,34.2,15.39,3.42,0.0,ongoing but physically not completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division damoh,8191417.0,rajalwari pwss (retrofitting),36.73,2020-2021,27-02-2020,29-01-2021,14-04-2023,31-12-2025,36.73,0.0,36.73,36.64709,16.5285,36.64709,16.5285,ongoing,retrofit/ augmentation,svs,98.0,95.0,ground water based,not specified,state and others,state & other completed and subsumed for retrofit & augmentation,36.73,16.528,3.673,100.0,physically completed,not provided,2021.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed division chhindwara,30054836.0,khamarpani_jjm,92.3,2020-2021,07-08-2020,12-11-2020,08-11-2024,31-03-2025,92.3,0.0,92.3,86.54812,39.60375,86.54812,39.60375,ongoing,retrofit/ augmentation,svs,0.0,0.0,ground water based,not specified,nrdwp,nrdwp completed and subsumed for retrofit & augmentation,92.3,41.535,9.23,100.0,physically completed,not provided,not specified,not provided,2025.0,23-04-2025
