State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Work not awarded/ Ongoing/ Financially completed,New scheme/ Retrofit/ Augmentation,SVS/ MVS/ Bulk Water Schemes,FHTCS planned,FHTCS provided,Ground/ Surface water/ Bulk Water Based/ Other,Un-verified status,NRDWP/ State and Others/ JJM-PWS/ JJM-Non-PWS,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physically completed/ Ongoing but physically not completed/ Work order not issued,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
Madhya Pradesh,E.E. PHED Division Tikamgarh,30042356,RETEOFITTING Guna,243.91,2021-2022,20-07-2020,01-05-2022,26-06-2023,31-12-2024,243.91,0,243.91,243.2324,109.62138,243.2324,109.62138,Ongoing,retrofit/ Augmentation,SVS,502,496,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,243.91,109.76,24.391,100,Physically completed,June,2023,March,2024,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Datia,7747253,RUHERA (ODF) PWSS,95.2,2017-2018,17-11-2017,21-11-2017,20-03-2024,30-04-2024,98.18905,0,98.18905,103.50593,90.93846,98.18905,90.93846,Ongoing,New PWS scheme,SVS,38,523,Ground water based,,NRDWP,Ongoing and not taken for Retrofit & Augmentation (NRDWP schemes where expenditure booked since launch of JJM),0,0,0,100,Physically completed,February,2021,November,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Chhatarpur,8334256,TORNA PS,1.98,2021-2022,12-03-2021,01-04-2021,03-02-2024,09-02-2024,1.5,0,1.5,1.5,0.75,1.5,0.75,Financially completed,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.99,0,100,Physically completed,,,September,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division PARASIA,30246838,KHAMORI SCHOOL ANGANWADI JJM SCHEME,2.4,2020-2021,06-01-2021,23-07-2021,,23-10-2021,2.4,0,2.4,0,0,0,0,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.2,0,0,Ongoing but physically not completed,,,,,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Harda,8390415,Raisalpur Retri jjm,72.67,2021-2022,19-08-2021,17-11-2021,23-04-2024,31-12-2024,72.67,0,72.67,69.02504,34.51252,69.02504,34.51252,Ongoing,retrofit/ Augmentation,SVS,136,136,Ground water based,,NRDWP,NRDWP completed and subsumed for Retrofit & Augmentation,72.67,34.518,3.634,100,Physically completed,May,2023,June,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
